#$version=1
# 1 2017-06-05 first versioned file
LANCASTER PA WQRB483,15,39,55,46.3,76,23,49.6,185,96,130,130,52,76
LANCASTER PA WQRB483,15,40,0,15.5,76,21,20.1,185,96,130,130,52,76
LANCASTER PA WQRB483,15,40,1,7.9,76,17,4.9,185,96,130,130,52,76
LANCASTER PA WQRB483,15,40,1,12.6,76,29,11.9,185,96,130,130,52,76
LANCASTER PA WQRB483,15,40,2,20.4,76,18,13.9,185,96,130,130,52,76
LANCASTER PA WQRB483,15,40,5,26.3,76,19,8.9,185,96,130,130,52,76
LANCASTER PA WQRB485,15,39,43,50,76,9,20.2,185,96,130,130,52,76
LANCASTER PA WQRB485,15,39,50,12.9,76,3,24.1,185,96,130,130,52,76
LANCASTER PA WQRB485,15,39,50,33.4,76,18,55.3,185,96,130,130,52,76
LANCASTER PA WQRB485,15,39,54,9.8,76,4,51.1,185,96,130,130,52,76
LANCASTER PA WQRB485,15,39,58,39,76,3,16,185,96,130,130,52,76
LANCASTER PA WQVS780,15,39,47,45,76,11,27.5,185,96,130,130,52,76
LANCASTER PA WQBV581,19,40,3,31.6,76,27,42.4,185,96,130,130,52,76
LANCASTER PA WQIN464,19,39,46,15,76,14,24,185,96,130,130,52,76
LOS ANGELES CA WQJX500,15,34,13,3,118,16,59.3,185,96,130,130,52,76
LOS ANGELES CA WQJX501,15,34,21,6,117,40,30.2,185,96,130,130,52,76
LOS ANGELES CA WQJX502,15,34,1,5,118,0,49,185,96,130,130,52,76
LOS ANGELES CA WQJX503,15,33,25,33.1,118,28,34.3,185,96,130,130,52,76
LOS ANGELES CA WQJX504,15,34,9,37,117,47,56,185,96,130,130,52,76
LOS ANGELES CA WQJX505,15,33,44,50,118,20,10,185,96,130,130,52,76
LOS ANGELES CA WQJX506,15,33,20,59.8,118,21,9.2,185,96,130,130,52,76
LOS ANGELES CA WQJX507,15,34,5,9,118,47,9,185,96,130,130,52,76
LOS ANGELES CA WQJX508,15,34,0,17,118,21,44.3,185,96,130,130,52,76
LOS ANGELES CA WQJX509,15,33,23,12,118,24,3,185,96,130,130,52,76
LOS ANGELES CA WQJX510,15,33,46,6,118,22,36,185,96,130,130,52,76
LOS ANGELES CA WQJX511,15,34,33,58,118,16,31,185,96,130,130,52,76
LOS ANGELES CA WQJX512,15,34,14,48,118,6,17,185,96,130,130,52,76
LOS ANGELES CA WQJX513,15,34,13,3,118,16,59,185,96,130,130,52,76
LOS ANGELES CA WQJX514,15,34,19,34,118,35,12,185,96,130,130,52,76
LOS ANGELES CA WQJX515,15,34,44,40,118,43,41,185,96,130,130,52,76
LOS ANGELES CA WQJX516,15,34,3,18,118,14,36,185,96,130,130,52,76
LOS ANGELES CA WQJX517,15,34,11,23,118,7,59.3,185,96,130,130,52,76
LOS ANGELES CA WQJX518,15,33,20,38.1,118,19,35.3,185,96,130,130,52,76
LOS ANGELES CA WQJX519,15,34,5,1,118,23,1.3,185,96,130,130,52,76
LOS ANGELES CA WQJX520,15,34,2,12,118,41,22.3,185,96,130,130,52,76
LOS ANGELES CA WQJX521,15,34,3,22,118,10,27,185,96,130,130,52,76
LOS ANGELES CA WQJX522,15,34,6,11,118,4,36,185,96,130,130,52,76
LOS ANGELES CA WQJX523,15,34,41,18,118,8,57,185,96,130,130,52,76
LOS ANGELES CA WQJX524,15,34,19,12,118,33,56,185,96,130,130,52,76
LOS ANGELES CA WQJX525,15,34,16,7,118,14,11.3,185,96,130,130,52,76
LOS ANGELES CA WQJX526,15,34,32,48,118,13,3,185,96,130,130,52,76
